,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1416,1568,Jet Li: Rise to Honor,PS2,2004,Action,Sony Computer Entertainment,0.62,0.48,0,0.16,1.27
1417,1569,Battle Arena Toshinden,PS,1994,Action,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27
1418,1570,Yokai Watch 3,3DS,2016,Action,Level 5,0,0,1.27,0,1.27
1419,1571,Kung Fu Panda,DS,2008,Action,Activision,0.56,0.57,0,0.14,1.26
1420,1572,Tamagotchi Connection: Corner Shop,DS,2005,Simulation,Atari,0.1,0.02,1.12,0.01,1.26
1421,1573,Football Manager 2011,PC,2010,Sports,Sega,0,1.01,0,0.25,1.26
1422,1574,Devil Dice,PS,1998,Strategy,THQ,0.05,0.03,1.1,0.08,1.26
1423,1575,Final Fantasy IV,DS,2007,Simulation,Square Enix,0.54,0.05,0.62,0.05,1.26
1424,1576,Hyrule Warriors,WiiU,2014,Action,Nintendo,0.61,0.42,0.13,0.1,1.26
1425,1577,Need for Speed Carbon,PS3,2006,Racing,Electronic Arts,0.49,0.52,0.03,0.21,1.26
1426,1578,Championship Manager 03/04,PC,2003,Sports,Eidos Interactive,0,1.15,0,0.11,1.26
1427,1579,Brian Lara Cricket,PS,1998,Sports,Codemasters,0.02,1.13,0.01,0.1,1.26
1428,1580,Ratatouille,DS,2007,Action,THQ,0.5,0.62,0,0.14,1.26
1430,1582,LEGO The Lord of the Rings,X360,2012,Action,Warner Bros. Interactive Entertainment,0.63,0.51,0,0.11,1.26
1431,1583,Winter Sports: The Ultimate Challenge,Wii,2007,Sports,RTL,0.45,0.68,0,0.12,1.26
1432,1584,SOCOM: U.S. Navy SEALs Confrontation,PS3,2008,Action,Sony Computer Entertainment,0.94,0.17,0.02,0.13,1.25
1433,1585,NBA Live 2001,PS,2000,Sports,Electronic Arts,0.7,0.47,0,0.08,1.25
1434,1586,Star Wars: The Force Unleashed,PS2,2008,Action,LucasArts,0.49,0,0.01,0.75,1.25
1435,1587,Combat,2600,,Action,Atari,1.17,0.07,0,0.01,1.25
1436,1588,Tom Clancy's Rainbow Six: Vegas,PS3,2007,Action,Ubisoft,0.47,0.53,0.03,0.22,1.25
1437,1589,Dragon Ball: Daimaou Fukkatsu,NES,1988,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25
1438,1590,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,1987,Role-Playing,Namco Bandai Games,0,0,1.25,0,1.25
1439,1591,Reel Fishing,PS,1996,Sports,Natsume,0.99,0.13,0.1,0.04,1.25
1440,1592,Injustice: Gods Among Us,PS3,2013,Action,Warner Bros. Interactive Entertainment,0.48,0.53,0.01,0.23,1.25
1441,1593,Pokemon XD: Gale of Darkness,GC,2005,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25
1442,1594,Black,PS2,2006,Action,Electronic Arts,1.01,0.04,0.03,0.16,1.25
1443,1595,RollerCoaster Tycoon 2,PC,2002,Strategy,Atari,1.19,0.05,0,0,1.25
1444,1596,Lara Croft Tomb Raider: The Angel of Darkness,PS2,2003,Action,Eidos Interactive,0.61,0.48,0,0.16,1.25
1445,1597,Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,Ubisoft,0.52,0.56,0,0.17,1.25
1446,1598,Road Rash 3D,PS,1998,Racing,Electronic Arts,1.05,0.16,0,0.04,1.25
1447,1599,Ratchet: Deadlocked,PS2,2005,Action,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24
1448,1600,Baldur's Gate: Dark Alliance,PS2,2001,Role-Playing,Virgin Interactive,0.61,0.48,0,0.16,1.24
1449,1601,Transformers: Autobots / Decepticons,DS,2007,Action,Activision,1.12,0.03,0,0.09,1.24
1450,1602,Tales of Xillia,PS3,2011,Role-Playing,Namco Bandai Games,0.29,0.19,0.67,0.09,1.24
1451,1603,Diddy Kong Racing DS,DS,2007,Racing,Nintendo,1.1,0.04,0,0.1,1.24
1452,1604,[Prototype],PS3,2009,Action,Activision,0.65,0.41,0,0.19,1.24
1453,1605,Assassin's Creed: Bloodlines,PSP,2009,Action,Ubisoft,0.43,0.48,0.05,0.28,1.24
1454,1607,The Witcher 3: Wild Hunt,XOne,2015,Role-Playing,Namco Bandai Games,0.66,0.47,0,0.11,1.24
1455,1608,Ridge Racer V,PS2,2000,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24
1456,1609,WWE SmackDown vs. Raw 2009,PS2,2008,Action,THQ,0.69,0,0,0.55,1.24
1457,1610,Tetris 2 (All region sales),GB,1992,Strategy,Nintendo,0.56,0.22,0.43,0.03,1.24
1458,1611,Star Wars Episode III: Revenge of the Sith,XB,2005,Action,Activision,0.82,0.38,0,0.04,1.24
1459,1612,Ben 10: Protector of Earth,Wii,2007,Action,D3Publisher,0.55,0.55,0,0.13,1.23
1460,1614,2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23
1461,1615,Ninja Gaiden,XB,2004,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23
1462,1617,Driv3r,PS2,2004,Racing,Atari,0.6,0.47,0,0.16,1.23
1464,1619,Farming Simulator 2015,PC,2014,Simulation,Focus Home Interactive,0.08,1.02,0,0.13,1.23
1466,1621,Medal of Honor: Airborne,PS3,2007,Action,Electronic Arts,0.25,0.7,0.03,0.25,1.23
1467,1622,Kirby Tilt 'n' Tumble,GB,2000,Strategy,Nintendo,0.29,0.17,0.75,0.02,1.23
1468,1624,Vigilante 8,PS,1998,Racing,Activision,0.68,0.47,0,0.08,1.23
1469,1627,Bayonetta,PS3,2009,Action,Sega,0.44,0.41,0.21,0.17,1.23
1470,1628,"WarioWare, Inc.: Mega MicroGame$",GBA,2003,Strategy,Nintendo,0.4,0.11,0.7,0.02,1.23
1471,1629,Star Wars: Battlefront II,PSP,2005,Action,LucasArts,1.05,0.06,0.01,0.11,1.23
1472,1630,Madden NFL 17,PS4,2016,Sports,Electronic Arts,0.92,0.08,0,0.23,1.23
1473,1631,Boom Blox,Wii,2008,Strategy,Electronic Arts,0.72,0.38,0,0.12,1.23
1474,1632,Fallout 4,PC,2015,Role-Playing,Bethesda Softworks,0.5,0.63,0,0.1,1.23
1475,1633,The Sims 2: Castaway,Wii,2007,Simulation,Electronic Arts,0.45,0.64,0,0.14,1.23
1476,1634,LEGO Batman 2: DC Super Heroes,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.5,0.53,0,0.2,1.22
1477,1635,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2010,Action,Namco Bandai Games,0.42,0.47,0.15,0.18,1.22
1478,1636,Mario Power Tennis,GC,2004,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22
1479,1637,Intelligent Qube,PS,1997,Strategy,Sony Computer Entertainment,0.13,0.07,1,0.02,1.22
1482,1640,Pac-Man,NES,1984,Strategy,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22
1483,1641,Parfait: Chocolat Second Style,PS2,2006,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22
1484,1642,F1 2011,PS3,2011,Racing,Codemasters,0.12,0.75,0.11,0.25,1.22
1485,1643,Cars,PSP,2006,Racing,THQ,0.72,0.29,0,0.21,1.22
1486,1644,NBA Live 99,PS,1997,Sports,Electronic Arts,1.13,0.05,0,0.03,1.22
1487,1645,Chocobo no Fushigi Dungeon,PS,1997,Role-Playing,SquareSoft,0,0,1.14,0.08,1.22
1488,1646,Golden Sun: The Lost Age,GBA,2002,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22
1489,1647,SimCity 2000,PS,1996,Simulation,Maxis,0.68,0.46,0,0.08,1.22
1490,1648,Max Payne,XB,2001,Action,Take-Two Interactive,0.98,0.19,0,0.05,1.22
1491,1649,WCW Mayhem,PS,1998,Action,Electronic Arts,0.68,0.46,0,0.08,1.22
1492,1650,NBA 2K2,PS2,2002,Sports,Sega,0.59,0.46,0.01,0.15,1.22
1493,1651,NASCAR Thunder 2003,PS2,,Racing,Unknown,0.6,0.46,0,0.16,1.22
1494,1652,Super Street Fighter IV: 3D Edition,3DS,2011,Action,Capcom,0.55,0.44,0.14,0.09,1.22
1495,1653,Cars,PS2,2006,Racing,THQ,1.01,0.04,0,0.16,1.21
1497,1655,Call of Duty: Finest Hour,XB,2004,Action,Activision,0.78,0.4,0,0.04,1.21
1498,1656,FIFA Soccer 11,PSP,2010,Sports,Electronic Arts,0.13,0.7,0.01,0.37,1.21
1499,1658,LEGO Indiana Jones 2: The Adventure Continues,DS,2009,Action,Activision,0.66,0.43,0,0.12,1.21
1500,1660,Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation,0,0,1.2,0.01,1.21
1501,1661,Star Wars Episode 1: Jedi Power Battles,PS,1999,Action,LucasArts,0.66,0.48,0.01,0.06,1.21
1502,1662,Dino Crisis 2,PS,2000,Action,Virgin Interactive,0.34,0.49,0.28,0.1,1.21
1503,1663,Need for Speed Underground,GC,2003,Racing,Electronic Arts,0.69,0.48,0.01,0.03,1.21
1505,1665,Test Drive 4,PS,1997,Racing,Electronic Arts,0.67,0.46,0,0.08,1.21
1506,1666,FIFA Soccer 07,PSP,2006,Sports,Electronic Arts,0.24,0.65,0,0.32,1.21
1507,1667,World Soccer Winning Eleven 9 (JP & Others sales),PSP,2005,Sports,Konami Digital Entertainment,0.01,0.88,0.31,0,1.2
1508,1668,The Lord of the Rings: The Fellowship of the Ring,PS2,2002,Action,Black Label Games,0.59,0.46,0,0.15,1.2
1509,1669,LEGO Star Wars III: The Clone Wars,PS3,2011,Action,LucasArts,0.52,0.49,0,0.2,1.2
1510,1670,ATV Offroad Fury 3,PS2,2004,Racing,SouthPeak Games,1,0.04,0,0.16,1.2
1511,1671,Pikmin 2,GC,2004,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2
1514,1674,Battlefield: Hardline,XOne,2015,Action,Electronic Arts,0.72,0.37,0.01,0.11,1.2
1515,1675,WWE 2K16,PS4,2015,Sports,Take-Two Interactive,0.41,0.6,0,0.19,1.2
1516,1676,Dragon Ball Z: La Legende Saien,SNES,1993,Action,Namco Bandai Games,0,0,1.2,0,1.2
1517,1677,TwinBee,NES,1986,Action,Konami Digital Entertainment,0,0,1.2,0,1.2
1518,1679,NFL 2K,DC,1999,Sports,Sega,1.12,0.05,0,0.02,1.2
1519,1680,SolarStriker,GB,1989,Action,Nintendo,0.4,0.39,0.36,0.04,1.2
1520,1681,Enter the Matrix,XB,2003,Action,Atari,0.72,0.43,0.01,0.04,1.2
1521,1682,NHL 2002,PS2,2001,Sports,Electronic Arts,0.59,0.46,0,0.15,1.2
1522,1683,Mario vs. Donkey Kong 2: March of the Minis,DS,2006,Strategy,Nintendo,0.74,0.03,0.36,0.07,1.2
1523,1684,PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,0.55,0.17,0.42,0.06,1.2
1524,1685,One Piece: Pirate Warriors,PS3,2012,Action,Namco Bandai Games,0.01,0.24,0.86,0.09,1.2
1525,1686,WWE 2K14,PS3,2013,Sports,Take-Two Interactive,0.49,0.49,0,0.21,1.19
1526,1687,Metal Gear Solid: Portable Ops,PSP,2006,Action,Konami Digital Entertainment,0.38,0.35,0.38,0.09,1.19
1527,1688,Nuclear Strike,PS,1997,Simulation,Electronic Arts,0.66,0.45,0,0.08,1.19
1528,1689,Captain Toad: Treasure Tracker,WiiU,2014,Strategy,Nintendo,0.56,0.36,0.19,0.09,1.19
1529,1690,WWE SmackDown vs Raw 2008,PSP,2007,Action,THQ,0.45,0.47,0,0.28,1.19
1530,1691,The Simpsons: Road Rage,GBA,2003,Racing,THQ,0.86,0.32,0,0.02,1.19
1531,1692,Pro Evolution Soccer 2008,Wii,2008,Sports,Konami Digital Entertainment,0.09,0.84,0.11,0.15,1.19
1532,1694,Mario & Sonic at the London 2012 Olympic Games,3DS,2012,Sports,Sega,0.18,0.64,0.27,0.1,1.19
1533,1695,Scarface: The World is Yours,PS2,2006,Action,Vivendi Games,0.99,0.04,0,0.16,1.19
1534,1696,Kobe Bryant in NBA Courtside,N64,1998,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19
1535,1698,The Dukes of Hazzard: Racing for Home,PS,1999,Racing,Ubisoft,0.99,0.16,0,0.04,1.19
1536,1699,Hitman 2: Silent Assassin,XB,,Action,Eidos Interactive,0.76,0.38,0,0.05,1.19
1537,1700,FIFA 14,XOne,2013,Sports,Electronic Arts,0.41,0.66,0,0.12,1.19
1538,1701,Spider-Man: The Movie,GC,2002,Action,Activision,0.86,0.27,0.01,0.04,1.19
1539,1702,Final Fantasy I & II: Dawn of Souls,GBA,2004,Role-Playing,Nintendo,0.64,0.24,0.29,0.02,1.19
1540,1703,NBA 2K17,PS4,2016,Sports,Take-Two Interactive,0.83,0.14,0,0.22,1.19
1541,1704,Pokemon Super Mystery Dungeon,3DS,2015,Role-Playing,Nintendo,0.46,0.31,0.33,0.08,1.19
1543,1706,Metal Gear Solid VR Missions,PS,1999,Adventure,Konami Digital Entertainment,0.66,0.45,0,0.08,1.18
1544,1707,Pole Position,2600,1982,Racing,Atari,1.1,0.07,0,0.01,1.18
1545,1708,Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,0.48,0.25,0.36,0.1,1.18
1546,1709,LEGO Indiana Jones: The Original Adventures,PSP,2008,Action,LucasArts,0.4,0.49,0,0.29,1.18
1547,1710,Pro Yakyuu Family Stadium '88,NES,1988,Sports,Namco Bandai Games,0.1,0,1.08,0,1.18
1548,1711,Shenmue,DC,1999,Adventure,Sega,0.52,0.24,0.38,0.04,1.18
1549,1712,Mario Tennis,GB,2000,Sports,Nintendo,0.5,0.18,0.44,0.06,1.18
1550,1713,Tony Hawk's Pro Skater 2,GBA,2001,Sports,Activision,0.85,0.31,0,0.02,1.18
1551,1714,WWE '12,PS3,2011,Action,THQ,0.53,0.46,0.02,0.17,1.18
1552,1715,WWE SmackDown vs. Raw 2010,PS3,2009,Action,THQ,0.48,0.49,0.01,0.2,1.18
1553,1716,Plants vs. Zombies,DS,2011,Strategy,Mastertronic,0.95,0.15,0,0.08,1.18
1554,1719,Spore,PC,2008,Strategy,Electronic Arts,0.03,1.06,0,0.09,1.17
1555,1720,Soviet Strike,PS,1996,Simulation,Electronic Arts,0.65,0.44,0,0.08,1.17
1556,1721,Your Shape: Fitness Evolved 2012,X360,2011,Sports,Ubisoft,0.7,0.37,0,0.1,1.17
1557,1722,Army of Two,PS3,2008,Action,Electronic Arts,0.74,0.26,0.02,0.15,1.17
1558,1723,Gun,PS2,2005,Action,Activision,0.98,0.04,0,0.16,1.17
1559,1727,Medal of Honor: Warfighter,X360,2012,Action,Electronic Arts,0.58,0.47,0.01,0.1,1.17
1560,1730,Mission: Impossible,N64,1997,Action,Ocean,0.74,0.38,0.02,0.03,1.17
1561,1731,Romancing SaGa 2,SNES,1993,Role-Playing,SquareSoft,0,0,1.17,0,1.17
1562,1732,Cabela's Dangerous Hunts,PS2,2003,Sports,Zoo Digital Publishing,0.57,0.45,0,0.15,1.17
1563,1733,Cool Boarders 4,PS,1998,Sports,989 Studios,0.65,0.44,0,0.08,1.17
1564,1734,Rage Racer,PS,1996,Racing,Sony Computer Entertainment,0.16,0.11,0.83,0.08,1.17
1565,1735,Medal of Honor: Rising Sun,XB,2003,Action,Electronic Arts,0.76,0.36,0,0.05,1.17
1566,1736,Football Manager 2013,PC,2012,Sports,Sega,0,0.95,0,0.22,1.17
1567,1737,Destruction Derby 2,PS,1996,Racing,Psygnosis,0.65,0.44,0,0.08,1.17
1568,1739,Destiny: The Taken King,XOne,2015,Action,Activision,0.82,0.23,0,0.11,1.17
1569,1740,Mario vs. Donkey Kong,GBA,2004,Strategy,Nintendo,0.68,0.25,0.21,0.02,1.17
1570,1741,007: Quantum of Solace,PS3,2008,Action,Activision,0.43,0.52,0.02,0.2,1.16
1571,1742,EA Sports Active: More Workouts,Wii,2009,Sports,Electronic Arts,0.78,0.28,0,0.1,1.16
1572,1743,Fallout: New Vegas,PC,2010,Role-Playing,Bethesda Softworks,0.58,0.45,0,0.14,1.16
1573,1744,Need for Speed: Most Wanted,PSV,2012,Racing,Electronic Arts,0.38,0.52,0.01,0.25,1.16
1574,1745,Final Fantasy Tactics: The War of the Lions,PSP,2007,Role-Playing,Square Enix,0.45,0.25,0.3,0.16,1.16
1575,1746,Midnight Club 3: DUB Edition Remix,PS2,2006,Racing,Take-Two Interactive,0.97,0.04,0,0.16,1.16
1576,1747,Tom Clancy's Ghost Recon: Jungle Storm,PS2,2004,Action,Ubisoft,0.57,0.44,0,0.15,1.16
1578,1749,Bushido Blade,PS,1997,Action,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16
1579,1750,LEGO Star Wars III: The Clone Wars,DS,2011,Action,LucasArts,0.66,0.39,0,0.11,1.16
1580,1751,NASCAR Thunder 2002,PS2,2001,Racing,Electronic Arts,0.57,0.44,0,0.15,1.16
1581,1752,Jet Force Gemini,N64,1999,Action,Nintendo,0.78,0.28,0.07,0.02,1.16
1582,1754,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,2002,Role-Playing,Konami Digital Entertainment,0.84,0.27,0,0.05,1.16
1583,1755,Sega Rally Championship,SAT,1995,Racing,Sega,0.21,0.16,0.77,0.02,1.16
1584,1756,Test Drive: Off Road,PS,1997,Racing,Eidos Interactive,0.65,0.44,0,0.08,1.16
1585,1757,Medal of Honor Heroes 2,PSP,2007,Action,Electronic Arts,0.5,0.39,0.02,0.25,1.16
1586,1758,Sniper: Ghost Warrior,X360,2010,Action,City Interactive,0.54,0.51,0,0.12,1.16
1588,1760,LEGO Star Wars: The Video Game,XB,2005,Action,Eidos Interactive,0.83,0.28,0,0.05,1.16
1589,1761,FIFA Soccer 10,PSP,2009,Sports,Electronic Arts,0.15,0.68,0.01,0.32,1.16
1590,1762,Plants vs. Zombies: Garden Warfare,X360,2014,Action,Electronic Arts,0.51,0.54,0,0.1,1.16
1591,1763,Worldwide Soccer Manager 2009,PC,2008,Simulation,Sega,0,1.14,0,0.01,1.15
1592,1764,Omerta: City of Gangsters,PS3,2011,Simulation,Konami Digital Entertainment,0.52,0.46,0,0.17,1.15
1593,1765,Gauntlet: Dark Legacy,PS2,2001,Action,Midway Games,0.56,0.44,0,0.15,1.15
1594,1766,Ninja Gaiden Sigma,PS3,2007,Action,Eidos Interactive,0.57,0.33,0.09,0.16,1.15
1595,1767,Bad Boys: Miami Takedown,PS2,2004,Action,Empire Interactive,0.56,0.44,0,0.15,1.15
1597,1769,Red Dead Redemption: Undead Nightmare,PS3,2010,Action,Take-Two Interactive,0.44,0.46,0.06,0.18,1.15
1598,1771,Call of Duty 4: Modern Warfare,PC,2007,Action,Activision,0,1.12,0,0.03,1.15
1599,1772,Qix,GB,1990,Strategy,Nintendo,0.51,0.2,0.41,0.03,1.15
1600,1773,Derby Stallion III,SNES,1995,Sports,ASCII Entertainment,0,0,1.15,0,1.15
1601,1774,Doraemon,NES,1986,Action,Hudson Soft,0,0,1.15,0,1.15
1604,1778,Fight Night Champion,PS3,2011,Action,Electronic Arts,0.45,0.51,0,0.19,1.15
1605,1779,Dragon Quest I & II,SNES,1993,Role-Playing,Enix Corporation,0,0,1.15,0,1.15
1606,1781,Asteroids,PS,1998,Action,Success,0.64,0.43,0,0.07,1.15
1607,1782,Puyo Puyo Sun Ketteiban,PS,1997,Strategy,Compile,0,0,1.07,0.07,1.15
1608,1783,Pokemon Rumble Blast,3DS,2011,Action,Nintendo,0.47,0.26,0.35,0.07,1.14
1609,1784,Action Bass,PS,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07,1.14
1610,1785,Tenchu: Wrath of Heaven,PS2,2003,Action,Activision,0.44,0.34,0.25,0.11,1.14
1611,1786,Shadow of the Colossus,PS2,2005,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14
1612,1787,Brave Fencer Musashi,PS,1998,Role-Playing,SquareSoft,0.25,0.17,0.65,0.07,1.14
1613,1788,Hot Shots Golf: Out of Bounds,PS3,2007,Sports,Sony Computer Entertainment,0.31,0.03,0.76,0.04,1.14
1614,1789,Dance Dance Revolution Extreme 2,PS2,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0,0.16,1.14
1615,1792,South Park,N64,1998,Action,Acclaim Entertainment,0.9,0.23,0,0.02,1.14
1616,1793,Commando,NES,1986,Action,Capcom,0.71,0.16,0.25,0.03,1.14
1617,1794,Pilotwings,SNES,1990,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14
1618,1795,Resident Evil - Code: Veronica,DC,2000,Action,Eidos Interactive,0.41,0.23,0.47,0.03,1.14
1619,1796,Super R.C. Pro-Am,GB,1991,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14
1620,1797,The Lord of the Rings: The Return of the King,XB,2003,Action,Electronic Arts,0.71,0.38,0,0.05,1.14
1621,1798,LEGO Star Wars: The Video Game,GBA,2005,Action,Eidos Interactive,0.82,0.3,0,0.02,1.14
1622,1799,Royal Palace of White Sword and The City of Gentiles,PS2,2005,Role-Playing,Take-Two Interactive,0,0.51,0,0.62,1.14
1624,1801,Mobile Suit Gundam: Federation vs. Zeon,PS2,2001,Simulation,Atari,0.12,0.1,0.88,0.03,1.14
1625,1802,Need for Speed Underground 2,GC,2004,Racing,Electronic Arts,0.7,0.39,0.01,0.03,1.14
1626,1803,MechAssault,XB,2002,Simulation,Microsoft Game Studios,1.01,0.1,0,0.03,1.13
1627,1804,ModNation Racers,PS3,2010,Racing,Sony Computer Entertainment,0.5,0.41,0.06,0.16,1.13
1628,1805,LEGO Star Wars III: The Clone Wars,3DS,2011,Action,LucasArts,0.61,0.43,0,0.09,1.13
1629,1806,Derby Stallion 99,PS,1999,Sports,ASCII Entertainment,0,0,1.06,0.07,1.13
1630,1807,Cars,GBA,2006,Racing,THQ,0.81,0.3,0,0.02,1.13
1631,1808,Fantasy Life,3DS,2012,Role-Playing,Nintendo,0.33,0.37,0.37,0.06,1.13
1632,1809,Tom Clancy's Rainbow Six 3: Black Arrow,XB,2004,Action,Ubisoft,0.99,0.12,0,0.02,1.13
1633,1810,WWE 2K15,PS4,2014,Sports,Take-Two Interactive,0.38,0.56,0,0.19,1.13
1635,1813,WWE 2K14,X360,2013,Sports,Take-Two Interactive,0.64,0.39,0,0.1,1.13
1636,1814,Alien: Isolation,PS4,2014,Action,Sega,0.34,0.56,0.04,0.19,1.13
1637,1815,Yakuza 3,PS3,2009,Action,Sega,0.21,0.21,0.62,0.08,1.13
1638,1816,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2005,Role-Playing,Nintendo,0.81,0.3,0,0.02,1.13
1640,1818,Dragon Age II,X360,2011,Action,Electronic Arts,0.72,0.3,0.01,0.09,1.12
1641,1819,Moon Patrol,2600,1982,Action,Atari,1.05,0.06,0,0.01,1.12
1642,1820,Supercar Street Challenge,PS2,2001,Racing,Activision,0.55,0.43,0,0.14,1.12
1643,1821,Pilotwings 64,N64,1996,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12
1644,1822,Crackdown 2,X360,2010,Action,Microsoft Game Studios,0.63,0.37,0.02,0.1,1.12
1645,1823,Final Fantasy XIV: A Realm Reborn,PS3,2013,Role-Playing,Square Enix,0.36,0.33,0.28,0.15,1.12
1646,1824,Castlevania: Lords of Shadow,PS3,2010,Action,Konami Digital Entertainment,0.5,0.37,0.1,0.16,1.12
1648,1826,Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,Disney Interactive Studios,0.62,0.4,0,0.1,1.12
1649,1827,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2005,Action,Sony Computer Entertainment,1.03,0,0.01,0.08,1.12
1650,1828,Call Of Duty 2: Big Red One,XB,2005,Action,Activision,0.66,0.4,0,0.05,1.12
1651,1829,Yoshi's Cookie,NES,1992,Strategy,Nintendo,0.41,0.06,0.63,0.02,1.12
1653,1831,Worldwide Soccer Manager 2008,PC,2007,Sports,Russel,0,1.12,0,0,1.12
1654,1832,Spider-Man 2,XB,2004,Action,Activision,0.82,0.26,0,0.04,1.12
1655,1833,Counter-Strike,XB,2003,Action,Microsoft Game Studios,0.85,0.23,0,0.04,1.11
1656,1834,Mad Max (2015),PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.58,0.04,0.17,1.11
1657,1835,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS2,2007,Action,Activision,0.63,0.37,0,0.11,1.11
1658,1836,GRID,PS3,2008,Racing,Codemasters,0.31,0.57,0.03,0.2,1.11
1660,1838,Sunset Overdrive,XOne,2014,Action,Microsoft Game Studios,0.62,0.4,0,0.08,1.11
1662,1840,Tom Clancy's Splinter Cell: Chaos Theory,XB,2005,Action,Ubisoft,0.68,0.38,0,0.05,1.11
1663,1842,Arc the Lad,PS,1995,Role-Playing,Sony Computer Entertainment,0,0,1.1,0.01,1.11
1664,1843,NBA Jam Tournament Edition,GEN,1994,Sports,Acclaim Entertainment,0.95,0.14,0,0.03,1.11
1665,1844,Need for Speed: ProStreet,Wii,2007,Racing,Electronic Arts,0.54,0.46,0,0.12,1.11
1666,1845,Pikmin 3,WiiU,2013,Strategy,Nintendo,0.45,0.31,0.29,0.06,1.11
1667,1846,Legend of Mana,PS,1999,Role-Playing,SquareSoft,0.18,0.13,0.73,0.07,1.11
1668,1847,Lumines: Strategy Fusion,PSP,2004,Strategy,Ubisoft,0.52,0.35,0,0.23,1.11
1669,1848,Toy Story 3: The Video Game,PS3,2010,Action,Disney Interactive Studios,0.51,0.42,0,0.17,1.11
1671,1850,Megamania,2600,1981,Action,Activision,1.03,0.06,0,0.01,1.1
1672,1851,Medal of Honor: Airborne,X360,2007,Action,Electronic Arts,0.45,0.53,0.01,0.12,1.1
1673,1852,The Legend of Zelda: Tri Force Heroes,3DS,2015,Action,Nintendo,0.52,0.33,0.17,0.08,1.1
1674,1854,Triple Play 98,PS,1997,Sports,Electronic Arts,0.61,0.42,0,0.07,1.1
1675,1855,LEGO The Lord of the Rings,PS3,2012,Action,Warner Bros. Interactive Entertainment,0.36,0.53,0,0.21,1.1
1676,1856,Petz Dogz 2,DS,2007,Simulation,Ubisoft,0.47,0.52,0,0.12,1.1
1677,1857,WWE SmackDown vs. Raw 2011,PS3,2010,Action,THQ,0.44,0.46,0.01,0.18,1.1
1678,1858,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB,1999,Strategy,Konami Digital Entertainment,0,0,1.1,0,1.1
1679,1859,Lode Runner,NES,1984,Strategy,Hudson Soft,0,0,1.1,0,1.1
1680,1860,The Final Fantasy Legend,GB,1989,Role-Playing,SquareSoft,0,0,1.1,0,1.1
1681,1861,Famicom Jump: Eiyuu Retsuden,NES,1989,Role-Playing,Namco Bandai Games,0,0,1.1,0,1.1
1682,1862,F-Zero X,N64,1998,Racing,Nintendo,0.45,0.33,0.29,0.03,1.1
1683,1864,NERF N-Strike,Wii,2008,Action,Electronic Arts,0.92,0.09,0,0.09,1.1
1684,1865,NBA Live 2001,PS2,2001,Sports,Electronic Arts,0.52,0.4,0.04,0.13,1.1
1687,1868,Tales of Symphonia,GC,2003,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1
1688,1869,Untold Legends: Brotherhood of the Blade,PSP,2005,Role-Playing,Activision,0.54,0.33,0.01,0.22,1.1
1689,1870,Star Ocean: The Second Story,PS,1998,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1
1690,1871,Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,Square Enix,0.31,0.22,0.45,0.12,1.1
